calved,calving_date,lost,Herd,id,season,season_yr,dist_to_last_yr,mean_diff_dist,mean_ln_dist,prop_forest
TRUE,2009-05-27,TRUE,Buchans,sc2006039,calving,2009,35686.23283,32348.26342,0.317660006,0.783319003
TRUE,2010-05-26,FALSE,Buchans,sc2006039,calving,2010,18490.91745,5896.478529,0.068716897,0.276425093
TRUE,2011-05-27,FALSE,Buchans,sc2006039,calving,2011,77770.39814,76179.44616,0.616581422,0.876146789
TRUE,2012-05-21,FALSE,Buchans,sc2006039,calving,2012,81944.80542,79015.71132,0.645739997,0.783605618
TRUE,2008-06-05,TRUE,Buchans,sc2006072,calving,2008,19027.57144,17219.81431,0.406463371,0.544020648
TRUE,2011-05-22,FALSE,Buchans,sc2006072,calving,2011,408.7031725,4626.02512,0.09369078,0.598623853
TRUE,2012-05-21,FALSE,Buchans,sc2006072,calving,2012,5240.592486,4662.868007,0.076738116,0.447662747
TRUE,2008-05-21,FALSE,Buchans,sc2006086,calving,2008,3207.106756,2603.835892,0.124247611,0.19357614
TRUE,2008-06-01,TRUE,Buchans,sc2007036,calving,2008,1772.421855,10634.52631,0.328781439,0.92087156
TRUE,2009-06-03,TRUE,Buchans,sc2007036,calving,2009,8507.387465,11516.89206,0.321787279,0.508736752
TRUE,2010-05-29,TRUE,Buchans,sc2007036,calving,2010,2823.691248,3679.92176,0.098848865,0.313736736
TRUE,2008-05-23,FALSE,Buchans,sc2007058,calving,2008,11066.0642,9336.488801,0.707964701,0.049655568
TRUE,2009-05-22,FALSE,Buchans,sc2007058,calving,2009,15040.17117,13280.72245,1.318779767,0.353092784
TRUE,2010-05-22,FALSE,Buchans,sc2007058,calving,2010,2116.525069,7198.246453,0.287650791,0.05198162
TRUE,2008-05-21,FALSE,Buchans,sc2007100,calving,2008,3813.541758,8455.837894,0.737345224,0.026934097
TRUE,2010-05-30,TRUE,Buchans,sc2009007,calving,2010,20766.59832,9319.328393,0.271891406,0.715922108
TRUE,2011-05-31,TRUE,Buchans,sc2009007,calving,2011,1751.982434,17551.24078,0.175353473,0.698853868
TRUE,2012-05-21,FALSE,Buchans,sc2009007,calving,2012,886.2976425,17893.95723,0.191454605,0.670295044
