Herd,season_yr,season,ID1,ID2,distance,dyadID
Fogo,2016,calving,FO2016004,FO2016003,1390.022745,FO2016003-FO2016004
Fogo,2016,calving,FO2016004,FO2016013,7084.81725,FO2016004-FO2016013
Fogo,2016,calving,FO2016004,FO2016001,19478.03574,FO2016001-FO2016004
Fogo,2016,calving,FO2016004,FO2016012,17800.34508,FO2016004-FO2016012
Fogo,2016,calving,FO2016004,FO2016002,8176.048275,FO2016002-FO2016004
Fogo,2016,calving,FO2016005,FO2016014,12176.35103,FO2016005-FO2016014
Fogo,2016,calving,FO2016005,FO2016015,8604.680884,FO2016005-FO2016015
Fogo,2016,calving,FO2016005,FO2016004,6660.577078,FO2016004-FO2016005
Fogo,2016,calving,FO2016005,FO2016007,7527.065984,FO2016005-FO2016007
Fogo,2016,calving,FO2016005,FO2016008,8477.095854,FO2016005-FO2016008
Fogo,2016,calving,FO2016005,FO2016011,12215.57615,FO2016005-FO2016011
Fogo,2016,calving,FO2016005,FO2016009,6055.478289,FO2016005-FO2016009
Fogo,2016,calving,FO2016005,FO2016010,9969.182317,FO2016005-FO2016010
Fogo,2016,calving,FO2016005,FO2016003,6571.512059,FO2016003-FO2016005
Fogo,2016,calving,FO2016005,FO2016013,1660.227928,FO2016005-FO2016013
Fogo,2016,calving,FO2016005,FO2016001,16995.15307,FO2016001-FO2016005
Fogo,2016,calving,FO2016005,FO2016012,12299.23949,FO2016005-FO2016012
Fogo,2016,calving,FO2016005,FO2016002,5335.877866,FO2016002-FO2016005
Fogo,2016,calving,FO2016007,FO2016014,15981.77069,FO2016007-FO2016014
Fogo,2016,calving,FO2016007,FO2016015,15114.17641,FO2016007-FO2016015
Fogo,2016,calving,FO2016007,FO2016004,11749.39382,FO2016004-FO2016007
Fogo,2016,calving,FO2016007,FO2016008,13075.28495,FO2016007-FO2016008
Fogo,2016,calving,FO2016007,FO2016011,4809.332444,FO2016007-FO2016011
Fogo,2016,calving,FO2016007,FO2016005,7527.065984,FO2016005-FO2016007
Fogo,2016,calving,FO2016007,FO2016009,13258.78379,FO2016007-FO2016009
Fogo,2016,calving,FO2016007,FO2016010,17496.0974,FO2016007-FO2016010
Fogo,2016,calving,FO2016007,FO2016003,10788.95134,FO2016003-FO2016007
Fogo,2016,calving,FO2016007,FO2016013,5926.95174,FO2016007-FO2016013
Fogo,2016,calving,FO2016007,FO2016001,9667.102044,FO2016001-FO2016007
Fogo,2016,calving,FO2016007,FO2016012,16525.77268,FO2016007-FO2016012
Fogo,2016,calving,FO2016007,FO2016002,12728.34318,FO2016002-FO2016007
Fogo,2016,calving,FO2016008,FO2016014,3749.084262,FO2016008-FO2016014
Fogo,2016,calving,FO2016008,FO2016015,4359.307862,FO2016008-FO2016015
Fogo,2016,calving,FO2016008,FO2016004,14188.80652,FO2016004-FO2016008
Fogo,2016,calving,FO2016008,FO2016007,13075.28495,FO2016007-FO2016008
Fogo,2016,calving,FO2016008,FO2016011,16363.05826,FO2016008-FO2016011
Fogo,2016,calving,FO2016008,FO2016005,8477.095854,FO2016005-FO2016008
Fogo,2016,calving,FO2016008,FO2016009,6031.747562,FO2016008-FO2016009
Fogo,2016,calving,FO2016008,FO2016010,10787.42343,FO2016008-FO2016010
Fogo,2016,calving,FO2016008,FO2016003,14575.04089,FO2016003-FO2016008
Fogo,2016,calving,FO2016008,FO2016013,9486.395977,FO2016008-FO2016013
Fogo,2016,calving,FO2016008,FO2016001,22401.23597,FO2016001-FO2016008
Fogo,2016,calving,FO2016008,FO2016012,3827.948354,FO2016008-FO2016012
Fogo,2016,calving,FO2016008,FO2016002,6842.38756,FO2016002-FO2016008
Fogo,2016,calving,FO2016009,FO2016014,9368.81911,FO2016009-FO2016014
Fogo,2016,calving,FO2016009,FO2016015,3229.916901,FO2016009-FO2016015
Fogo,2016,calving,FO2016009,FO2016004,9275.00979,FO2016004-FO2016009
Fogo,2016,calving,FO2016009,FO2016007,13258.78379,FO2016007-FO2016009
Fogo,2016,calving,FO2016009,FO2016008,6031.747562,FO2016008-FO2016009
Fogo,2016,calving,FO2016009,FO2016011,17659.60162,FO2016009-FO2016011
Fogo,2016,calving,FO2016009,FO2016005,6055.478289,FO2016005-FO2016009
Fogo,2016,calving,FO2016009,FO2016010,5221.314165,FO2016009-FO2016010
Fogo,2016,calving,FO2016009,FO2016003,10061.59239,FO2016003-FO2016009
Fogo,2016,calving,FO2016009,FO2016013,7689.31509,FO2016009-FO2016013
Fogo,2016,calving,FO2016009,FO2016001,22891.3686,FO2016001-FO2016009
Fogo,2016,calving,FO2016009,FO2016012,9005.413899,FO2016009-FO2016012
Fogo,2016,calving,FO2016009,FO2016002,1099.066623,FO2016002-FO2016009
Fogo,2016,calving,FO2016010,FO2016014,13517.69398,FO2016010-FO2016014
Fogo,2016,calving,FO2016010,FO2016015,6702.348834,FO2016010-FO2016015
Fogo,2016,calving,FO2016010,FO2016004,9678.455015,FO2016004-FO2016010
Fogo,2016,calving,FO2016010,FO2016007,17496.0974,FO2016007-FO2016010
Fogo,2016,calving,FO2016010,FO2016008,10787.42343,FO2016008-FO2016010
Fogo,2016,calving,FO2016010,FO2016011,22155.42855,FO2016010-FO2016011
Fogo,2016,calving,FO2016010,FO2016005,9969.182317,FO2016005-FO2016010
Fogo,2016,calving,FO2016010,FO2016009,5221.314165,FO2016009-FO2016010
Fogo,2016,calving,FO2016010,FO2016003,10934.06469,FO2016003-FO2016010
Fogo,2016,calving,FO2016010,FO2016013,11586.08621,FO2016010-FO2016013
Fogo,2016,calving,FO2016010,FO2016001,26861.33459,FO2016001-FO2016010
Fogo,2016,calving,FO2016010,FO2016012,12894.42233,FO2016010-FO2016012
Fogo,2016,calving,FO2016010,FO2016002,5127.554907,FO2016002-FO2016010
Fogo,2016,calving,FO2016011,FO2016014,18628.61092,FO2016011-FO2016014
Fogo,2016,calving,FO2016011,FO2016015,19118.20269,FO2016011-FO2016015
Fogo,2016,calving,FO2016011,FO2016004,16436.81726,FO2016004-FO2016011
Fogo,2016,calving,FO2016011,FO2016007,4809.332444,FO2016007-FO2016011
Fogo,2016,calving,FO2016011,FO2016008,16363.05826,FO2016008-FO2016011
Fogo,2016,calving,FO2016011,FO2016005,12215.57615,FO2016005-FO2016011
